# OLTARIS Badhwar-O'Neill 2020, Free Space 1AU, Defined by: Date, 31/12/2019-01/01/2020 (minimo solar), duracion de mision: 1 dia
# Especie: He (alpha) (Select Specific Ion, Z=2)
# Unidad de energia: MeV/amu. Unidad de flujo: particles/(MeV/amu * day * cm2) (Boundary Flux, 'Save external differential flux' = Si)
# energia_MeV_amu,flujo_diferencial
1.000000E-02,1.8715690E-03
1.160155E-02,2.2360700E-03
1.345960E-02,2.6715610E-03
1.561523E-02,3.1918670E-03
1.811609E-02,3.8135050E-03
2.101748E-02,4.5562120E-03
2.438354E-02,5.4435670E-03
2.828869E-02,6.5037390E-03
3.281928E-02,7.7703890E-03
3.807546E-02,9.2837270E-03
4.417345E-02,1.1091800E-02
5.124806E-02,1.3252000E-02
5.945571E-02,1.5832930E-02
6.897785E-02,1.8916500E-02
8.002502E-02,2.2600620E-02
9.284145E-02,2.7002250E-02
1.077105E-01,3.2257630E-02
1.249609E-01,3.8498410E-02
1.449741E-01,4.5894040E-02
1.681924E-01,5.4648510E-02
1.951293E-01,6.5000610E-02
2.263803E-01,7.7229620E-02
2.626364E-01,9.1662230E-02
3.046990E-01,1.0868050E-01
3.534981E-01,1.2873130E-01
4.101127E-01,1.5233770E-01
4.757944E-01,1.8011180E-01
5.519954E-01,2.1277040E-01
6.404004E-01,2.5115320E-01
7.429640E-01,2.9624480E-01
8.619536E-01,3.4920050E-01
1.000000E+00,4.1137710E-01
1.160155E+00,4.8436930E-01
1.345960E+00,5.7005440E-01
1.561523E+00,6.7064390E-01
1.811609E+00,7.8874620E-01
2.101748E+00,9.2744310E-01
2.438354E+00,1.0903780E+00
2.828869E+00,1.2818650E+00
3.281928E+00,1.5070150E+00
3.807546E+00,1.7718890E+00
4.417345E+00,2.0836720E+00
5.124806E+00,2.4508720E+00
5.945571E+00,2.8835500E+00
6.897785E+00,3.3935470E+00
8.002502E+00,3.9947220E+00
9.284145E+00,4.7031380E+00
1.077105E+01,5.5371560E+00
1.249609E+01,6.5173530E+00
1.449741E+01,7.6661490E+00
1.681924E+01,9.0069790E+00
1.951293E+01,1.0562930E+01
2.263803E+01,1.2354570E+01
2.626364E+01,1.4397080E+01
3.046990E+01,1.6696520E+01
3.534981E+01,1.9245730E+01
4.101127E+01,2.2020130E+01
4.757944E+01,2.4974200E+01
5.519954E+01,2.8039420E+01
6.404004E+01,3.1124500E+01
7.429640E+01,3.4118390E+01
8.619536E+01,3.6896310E+01
1.000000E+02,3.9328490E+01
1.160155E+02,4.1290590E+01
1.345960E+02,4.2674720E+01
1.561523E+02,4.3399450E+01
1.811609E+02,4.3417560E+01
2.101748E+02,4.2720450E+01
2.438354E+02,4.1338690E+01
2.828869E+02,3.9338810E+01
3.281928E+02,3.6816920E+01
3.807546E+02,3.3890080E+01
4.417345E+02,3.0686520E+01
5.124806E+02,2.7335970E+01
5.945571E+02,2.3960950E+01
6.897785E+02,2.0669750E+01
8.002502E+02,1.7551570E+01
9.284145E+02,1.4673880E+01
1.077105E+03,1.2081850E+01
1.249609E+03,9.7996220E+00
1.449741E+03,7.8328120E+00
1.681924E+03,6.1720100E+00
1.951293E+03,4.7965110E+00
2.263803E+03,3.6781400E+00
2.626364E+03,2.7846630E+00
3.046990E+03,2.0826630E+00
3.534981E+03,1.5397380E+00
4.101127E+03,1.1260340E+00
4.757944E+03,8.1515710E-01
5.519954E+03,5.8456190E-01
6.404004E+03,4.1556220E-01
7.429640E+03,2.9307030E-01
8.619536E+03,2.0518480E-01
1.000000E+04,1.4270920E-01
1.160155E+04,9.8667630E-02
1.345960E+04,6.7854430E-02
1.561523E+04,4.6441950E-02
1.811609E+04,3.1651980E-02
2.101748E+04,2.1491090E-02
2.438354E+04,1.4543680E-02
2.828869E+04,9.8134200E-03
3.281928E+04,6.6046680E-03
3.807546E+04,4.4351130E-03
4.417345E+04,2.9723780E-03
5.124806E+04,1.9886480E-03
5.945571E+04,1.3285010E-03
6.897785E+04,8.8634150E-04
8.002502E+04,5.9067530E-04
9.284145E+04,3.9325130E-04
1.077105E+05,2.6159040E-04
1.249609E+05,1.7388140E-04
1.449741E+05,1.1550650E-04
1.681924E+05,7.6686770E-05
1.951293E+05,5.0889290E-05
2.263803E+05,3.3756140E-05
2.626364E+05,2.2383270E-05
3.046990E+05,1.4837510E-05
3.534981E+05,9.8329230E-06
4.101127E+05,6.5148470E-06
4.757944E+05,4.3155840E-06
5.519954E+05,2.8582510E-06
6.404004E+05,1.8927660E-06
7.429640E+05,1.2532500E-06
8.619536E+05,8.2971870E-07
1.000000E+06,5.4926560E-07
