index,repeticion,especie,fase,bin_index,energy_mev,offset_x_m,n_events,seed1,seed2,macro_path,exit_code,duration_s,log_path,out_archive_path
2,0,GCR_H,min,0,17.78279410038923,2.0,10000,20260911,20260912,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_002_r00.mac,0,20.97,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_002_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_002_r00.out
3,0,GCR_H,min,0,17.78279410038923,3.0,10000,20260913,20260914,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_003_r00.mac,0,20.75,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_003_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_003_r00.out
4,0,GCR_H,min,0,17.78279410038923,4.0,10000,20260915,20260916,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_004_r00.mac,0,20.98,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_004_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_004_r00.out
7,0,GCR_H,min,1,56.23413251903491,2.0,10000,20260921,20260922,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_007_r00.mac,0,24.81,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_007_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_007_r00.out
8,0,GCR_H,min,1,56.23413251903491,3.0,10000,20260923,20260924,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_008_r00.mac,0,21.31,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_008_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_008_r00.out
9,0,GCR_H,min,1,56.23413251903491,4.0,10000,20260925,20260926,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_009_r00.mac,0,22.75,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_009_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_009_r00.out
12,0,GCR_H,min,2,177.82794100389228,2.0,10000,20260931,20260932,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_012_r00.mac,0,33.18,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_012_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_012_r00.out
13,0,GCR_H,min,2,177.82794100389228,3.0,10000,20260933,20260934,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_013_r00.mac,0,32.15,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_013_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_013_r00.out
14,0,GCR_H,min,2,177.82794100389228,4.0,10000,20260935,20260936,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_014_r00.mac,0,33.27,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_014_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_014_r00.out
17,0,GCR_H,min,3,562.341325190349,2.0,10000,20260941,20260942,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_017_r00.mac,0,76.01,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_017_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_017_r00.out
18,0,GCR_H,min,3,562.341325190349,3.0,10000,20260943,20260944,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_018_r00.mac,0,94.94,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_018_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_018_r00.out
19,0,GCR_H,min,3,562.341325190349,4.0,10000,20260945,20260946,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_019_r00.mac,0,89.16,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_019_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_019_r00.out
22,0,GCR_H,min,4,1778.2794100389228,2.0,10000,20260951,20260952,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_022_r00.mac,0,316.42,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_022_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_022_r00.out
23,0,GCR_H,min,4,1778.2794100389228,3.0,10000,20260953,20260954,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_023_r00.mac,0,306.78,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_023_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_023_r00.out
24,0,GCR_H,min,4,1778.2794100389228,4.0,10000,20260955,20260956,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_024_r00.mac,0,320.84,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_024_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_024_r00.out
27,0,GCR_H,min,5,5623.413251903491,2.0,10000,20260961,20260962,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_027_r00.mac,0,776.2,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_027_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_027_r00.out
28,0,GCR_H,min,5,5623.413251903491,3.0,10000,20260963,20260964,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_028_r00.mac,0,785.63,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_028_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_028_r00.out
29,0,GCR_H,min,5,5623.413251903491,4.0,10000,20260965,20260966,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_029_r00.mac,0,767.26,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_029_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_029_r00.out
32,0,GCR_H,min,6,17782.79410038923,2.0,10000,20260971,20260972,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_032_r00.mac,0,1804.53,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_032_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_032_r00.out
33,0,GCR_H,min,6,17782.79410038923,3.0,10000,20260973,20260974,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_033_r00.mac,0,1808.78,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_033_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_033_r00.out
34,0,GCR_H,min,6,17782.79410038923,4.0,10000,20260975,20260976,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_034_r00.mac,0,1847.77,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_034_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_034_r00.out
37,0,GCR_H,min,7,56234.13251903491,2.0,10000,20260981,20260982,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_037_r00.mac,0,4806.27,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_037_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_037_r00.out
38,0,GCR_H,min,7,56234.13251903491,3.0,10000,20260983,20260984,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_038_r00.mac,0,4756.38,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_038_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_038_r00.out
39,0,GCR_H,min,7,56234.13251903491,4.0,10000,20260985,20260986,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_039_r00.mac,0,4446.34,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_039_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_039_r00.out
42,0,GCR_He,min,0,17.78279410038923,2.0,10000,20260991,20260992,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_042_r00.mac,0,21.89,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_042_r00.log,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_042_r00.out
