index,repeticion,especie,fase,bin_index,energy_mev,offset_x_m,n_events,seed1,seed2,macro_path,exit_code,duration_s,log_path,out_archive_path
0,0,GCR_H,min,0,17.78279410038923,0.0,10000,20260907,20260908,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_000_r00.mac,0,64.91,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_000_r00.log,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_000_r00.out
1,0,GCR_H,min,0,17.78279410038923,1.0,10000,20260909,20260910,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_001_r00.mac,0,48.48,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_001_r00.log,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_001_r00.out
5,0,GCR_H,min,1,56.23413251903491,0.0,10000,20260917,20260918,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_005_r00.mac,0,35.5,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_005_r00.log,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_005_r00.out
6,0,GCR_H,min,1,56.23413251903491,1.0,10000,20260919,20260920,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_006_r00.mac,0,38.9,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_006_r00.log,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_006_r00.out
10,0,GCR_H,min,2,177.82794100389228,0.0,10000,20260927,20260928,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_010_r00.mac,0,171.28,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_010_r00.log,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_010_r00.out
11,0,GCR_H,min,2,177.82794100389228,1.0,10000,20260929,20260930,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_011_r00.mac,0,163.52,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_011_r00.log,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_011_r00.out
15,0,GCR_H,min,3,562.341325190349,0.0,10000,20260937,20260938,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_015_r00.mac,0,283.29,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_015_r00.log,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_015_r00.out
16,0,GCR_H,min,3,562.341325190349,1.0,10000,20260939,20260940,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_016_r00.mac,0,278.42,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_016_r00.log,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_016_r00.out
20,0,GCR_H,min,4,1778.2794100389228,0.0,10000,20260947,20260948,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_020_r00.mac,0,815.74,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_020_r00.log,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_020_r00.out
21,0,GCR_H,min,4,1778.2794100389228,1.0,10000,20260949,20260950,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/macros/generated_organ/organ_run_021_r00.mac,0,827.84,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/logs_organ/organ_run_021_r00.log,/home/joel/proyecto_IAC/iac-project/geant4/ActiveShield_Sim/build/organ_out_archive/organ_run_021_r00.out
