categoria,offset_x_m,masa_kg,D_absorbida_GCR_Gy_dia,D_equivalente_GCR_Sv_dia,D_absorbida_SEP_Gy_evento,D_equivalente_SEP_Sv_evento
colon,2.0,0.33999,5.533904754711036e-06,5.055793478260528e-05,0.003146478870901922,0.006292957741803844
colon,3.0,0.33999,5.9008013489483505e-06,6.128160265783587e-05,0.0,0.0
colon,4.0,0.33999,8.586638562258642e-06,5.8436676034913075e-05,0.0,0.0
lung,2.0,1.20837,6.5048271474574625e-06,6.542649355558597e-05,0.0010412881576835856,0.0020825763153671712
lung,3.0,1.20837,2.6404329131084986e-05,0.00010721735656877077,0.004099778353151072,0.008199556706302144
lung,4.0,1.20837,7.311884434231217e-06,7.000995107911303e-05,0.001523152171094345,0.00304630434218869
stomach,2.0,0.14999,4.323299983678507e-06,4.127889968346328e-05,0.00039612584771779005,0.0007922516954355801
stomach,3.0,0.14999,3.3941324192437005e-06,3.679682686443368e-05,0.002584094490756533,0.005168188981513066
stomach,4.0,0.14999,5.1922591447862035e-06,4.016009631949711e-05,0.0,0.0
breast,2.0,0.024980000000000002,3.286825388171417e-06,2.911548884174584e-05,0.0,0.0
breast,3.0,0.024980000000000002,4.554080830855394e-06,2.597956862743438e-05,0.004130002250320822,0.008260004500641644
breast,4.0,0.024980000000000002,3.1304972070117615e-06,2.9552820399810116e-05,0.0,0.0
remainder_tissues,2.0,30.87331,5.631212441901276e-06,4.647315355053778e-05,0.0014449086232186492,0.0028898172464372983
remainder_tissues,3.0,30.87331,5.4994023333624176e-06,4.659086519507482e-05,0.0007178905653466017,0.0014357811306932033
remainder_tissues,4.0,30.87331,6.028300296817448e-06,4.795961716252081e-05,0.00097116242222756,0.00194232484445512
red_bone_marrow,2.0,1.16977626,4.593691433786208e-06,3.935241101903941e-05,0.001110295362449656,0.002220590724899312
red_bone_marrow,3.0,1.16977626,7.180473083546652e-06,4.680533653505476e-05,0.0006577092320602798,0.0013154184641205595
red_bone_marrow,4.0,1.16977626,5.2709663451911146e-06,4.4485325376916144e-05,0.0005792309846668558,0.0011584619693337116
