categoria,offset_x_m,masa_kg,D_absorbida_GCR_Gy_dia,D_equivalente_GCR_Sv_dia,D_absorbida_SEP_Gy_evento,D_equivalente_SEP_Sv_evento
colon,0.0,0.33999,0.013880368255295272,0.07448205332736832,0.0,0.0
colon,1.0,0.33999,8.684804814917742e-06,5.284135534487446e-05,0.0,0.0
lung,0.0,1.20837,0.007063528933728714,0.04673391352206219,0.0,0.0
lung,1.0,1.20837,1.9341819010350746e-05,9.592998584215251e-05,0.0,0.0
stomach,0.0,0.14999,0.01077215124147358,0.06723292037455575,0.0,0.0
stomach,1.0,0.14999,3.918640114076614e-06,3.640456387907718e-05,0.0,0.0
breast,0.0,0.024980000000000002,0.006255078765522801,0.041265111514911273,0.0,0.0
breast,1.0,0.024980000000000002,8.269252064753688e-06,4.499183385022424e-05,0.0,0.0
remainder_tissues,0.0,30.87331,0.011309423369479,0.0625859899485132,0.0,0.0
remainder_tissues,1.0,30.87331,5.3113791853588115e-06,3.744500619082371e-05,0.0,0.0
red_bone_marrow,0.0,1.16977626,0.0111741874210701,0.06208736127400433,0.0,0.0
red_bone_marrow,1.0,1.16977626,4.4970653563870125e-06,3.172614551295651e-05,0.0,0.0
