categoria,offset_x_m,masa_kg,D_absorbida_GCR_Gy_dia,D_equivalente_GCR_Sv_dia,D_absorbida_SEP_Gy_evento,D_equivalente_SEP_Sv_evento
colon,0.0,0.33999,0.02111697081541505,0.15576052658689593,0.2414105041330684,0.4828210082661368
colon,1.0,0.33999,9.564346434796218e-06,6.346989910101627e-05,0.0021429884392150777,0.004285976878430155
colon,2.0,0.33999,5.971765982608703e-06,5.407573931738567e-05,0.0019672658969971894,0.003934531793994379
colon,3.0,0.33999,6.094396752545353e-06,5.8072174957913583e-05,0.00059259510503377,0.00118519021006754
colon,4.0,0.33999,6.6937945719627614e-06,5.473113694580322e-05,0.0007674411552766164,0.0015348823105532329
lung,0.0,1.20837,0.00871388943432841,0.06591842477199718,0.08906126951787273,0.17812253903574546
lung,1.0,1.20837,1.2617532085267791e-05,8.717480831161202e-05,0.001877134590394291,0.003754269180788582
lung,2.0,1.20837,6.232906328566105e-06,6.84926708811387e-05,0.0021405342466706283,0.004281068493341257
lung,3.0,1.20837,1.3046353751329816e-05,8.101822653384182e-05,0.002752449494465405,0.00550489898893081
lung,4.0,1.20837,8.58796922901592e-06,7.551607864508242e-05,0.0018191718988499535,0.003638343797699907
stomach,0.0,0.14999,0.01418090206689635,0.10178766906526546,0.0,0.0
stomach,1.0,0.14999,4.33102871069352e-06,3.9090753762409667e-05,5.84824710274884e-05,0.0001169649420549768
stomach,2.0,0.14999,4.233960193979929e-06,3.793787765017951e-05,0.0008478412950759572,0.0016956825901519143
stomach,3.0,0.14999,3.87719099749744e-06,4.322668200417843e-05,0.0010073452862254554,0.002014690572450911
stomach,4.0,0.14999,5.112821536081804e-06,4.155737354520218e-05,0.0015643427503443566,0.003128685500688713
breast,0.0,0.024980000000000002,0.007666639323895493,0.05943096427370533,0.0,0.0
breast,1.0,0.024980000000000002,8.915167500275763e-06,4.32352040435292e-05,0.0,0.0
breast,2.0,0.024980000000000002,2.522770280648123e-06,2.2396439491157622e-05,0.0018735178217209572,0.0037470356434419145
breast,3.0,0.024980000000000002,3.623479698047696e-06,3.11959050137855e-05,0.0013766674167736074,0.002753334833547215
breast,4.0,0.024980000000000002,4.243024783568379e-06,4.98777347107397e-05,0.0,0.0
remainder_tissues,0.0,30.87331,0.01763780720328818,0.13024771774509072,0.5286574126946421,1.0573148253892841
remainder_tissues,1.0,30.87331,6.178399880061817e-06,5.088899259963125e-05,0.0009453543295996322,0.0018907086591992645
remainder_tissues,2.0,30.87331,5.574785766318365e-06,4.9171723611474825e-05,0.0011304022860752995,0.002260804572150599
remainder_tissues,3.0,30.87331,5.5609444632448455e-06,4.825082500126071e-05,0.0010053639144484618,0.0020107278288969237
remainder_tissues,4.0,30.87331,6.049470193029488e-06,5.047500975529241e-05,0.0010716201394953334,0.0021432402789906668
red_bone_marrow,0.0,1.16977626,0.018735561499040557,0.13879312833494467,0.5317841794413336,1.0635683588826672
red_bone_marrow,1.0,1.16977626,5.42704001881089e-06,4.6337382057051456e-05,0.0005014470974287974,0.0010028941948575947
red_bone_marrow,2.0,1.16977626,4.588556395506071e-06,4.257622454431737e-05,0.0007672938808128828,0.0015345877616257655
red_bone_marrow,3.0,1.16977626,5.962302120663146e-06,4.540609111669063e-05,0.00115104416355901,0.00230208832711802
red_bone_marrow,4.0,1.16977626,5.340556494032168e-06,4.492514664254147e-05,0.0009738455464411863,0.0019476910928823727
