categoria,offset_x_m,masa_kg,D_absorbida_GCR_Gy_dia,D_equivalente_GCR_Sv_dia,D_absorbida_SEP_Gy_evento,D_equivalente_SEP_Sv_evento
colon,0.0,0.33999,0.020302681443647094,0.14629084613309315,0.0,0.0
colon,1.0,0.33999,9.805705555749044e-06,6.700388534110317e-05,0.0009242349578596225,0.001848469915719245
colon,2.0,0.33999,5.608472336970729e-06,5.204928642779914e-05,0.003146478870901922,0.006292957741803844
colon,3.0,0.33999,5.971483800985891e-06,6.269525169858668e-05,0.0,0.0
colon,4.0,0.33999,8.657535723731995e-06,5.985461926438014e-05,0.0,0.0
lung,0.0,1.20837,0.008885260290754239,0.06618356386478931,0.26607384574523657,0.5321476914904731
lung,1.0,1.20837,1.9875296844707237e-05,0.00010242587246156816,0.0014982385056617662,0.0029964770113235324
lung,2.0,1.20837,6.566115973905248e-06,6.665227008454168e-05,0.0010412881576835856,0.0020825763153671712
lung,3.0,1.20837,2.6450510253026987e-05,0.0001081409790076108,0.004099778353151072,0.008199556706302144
lung,4.0,1.20837,7.361028566970721e-06,7.099283373390312e-05,0.001523152171094345,0.00304630434218869
stomach,0.0,0.14999,0.01354779757623779,0.10136758912929619,0.0,0.0
stomach,1.0,0.14999,4.234494636319905e-06,4.046575827108923e-05,0.00014610365446633247,0.00029220730893266493
stomach,2.0,0.14999,4.355720800345212e-06,4.192731601679739e-05,0.00039612584771779005,0.0007922516954355801
stomach,3.0,0.14999,3.4249793958925946e-06,3.741376639741156e-05,0.002584094490756533,0.005168188981513066
stomach,4.0,0.14999,5.215103380499073e-06,4.06169810337545e-05,0.0,0.0
breast,0.0,0.024980000000000002,0.008022948821690678,0.06053943458196765,0.0,0.0
breast,1.0,0.024980000000000002,8.573129797976923e-06,4.8113683079134805e-05,0.0,0.0
breast,2.0,0.024980000000000002,3.2992856439934333e-06,2.9364693958186168e-05,0.0,0.0
breast,3.0,0.024980000000000002,4.5748532394555355e-06,2.6395016799437198e-05,0.004130002250320822,0.008260004500641644
breast,4.0,0.024980000000000002,3.144773226917145e-06,2.9838340797917784e-05,0.0,0.0
remainder_tissues,0.0,30.87331,0.017487126489357938,0.12906213787447257,0.5598699132071148,1.1197398264142295
remainder_tissues,1.0,30.87331,6.5392779743157325e-06,5.251723307055813e-05,0.0005999121783046902,0.0011998243566093804
remainder_tissues,2.0,30.87331,5.745113711869052e-06,4.894194767763727e-05,0.0014449086232186492,0.0028898172464372983
remainder_tissues,3.0,30.87331,5.623358996837904e-06,4.906999846458454e-05,0.0007178905653466017,0.0014357811306932033
remainder_tissues,4.0,30.87331,6.155776045296292e-06,5.050913213209768e-05,0.00097116242222756,0.00194232484445512
red_bone_marrow,0.0,1.16977626,0.01829105076910057,0.13664326640896762,0.3935018749034638,0.7870037498069276
red_bone_marrow,1.0,1.16977626,5.662260636385974e-06,4.497448072193734e-05,0.0003352699865015863,0.0006705399730031726
red_bone_marrow,2.0,1.16977626,4.732578037683011e-06,4.2003532571164074e-05,0.001110295362449656,0.002220590724899312
red_bone_marrow,3.0,1.16977626,7.307222580920383e-06,4.9340326482529364e-05,0.0006577092320602798,0.0013154184641205595
red_bone_marrow,4.0,1.16977626,5.40939104975059e-06,4.725381946810565e-05,0.0005792309846668558,0.0011584619693337116
