categoria,offset_x_m,n_repeticiones,D_equivalente_GCR_Sv_dia_media,D_equivalente_GCR_Sv_dia_std,D_equivalente_GCR_Sv_dia_sem,D_equivalente_GCR_Sv_dia_ic95_low,D_equivalente_GCR_Sv_dia_ic95_high,D_equivalente_GCR_Sv_dia_cv_pct,D_equivalente_SEP_Sv_evento_media,D_equivalente_SEP_Sv_evento_std,D_equivalente_SEP_Sv_evento_sem,D_equivalente_SEP_Sv_evento_ic95_low,D_equivalente_SEP_Sv_evento_ic95_high,D_equivalente_SEP_Sv_evento_cv_pct
colon,2.0,1,5.055793478260528e-05,,,,,,0.006292957741803844,,,,,
colon,3.0,1,6.128160265783587e-05,,,,,,0.0,,,,,
colon,4.0,1,5.8436676034913075e-05,,,,,,0.0,,,,,
lung,2.0,1,6.542649355558597e-05,,,,,,0.0020825763153671712,,,,,
lung,3.0,1,0.00010721735656877077,,,,,,0.008199556706302144,,,,,
lung,4.0,1,7.000995107911303e-05,,,,,,0.00304630434218869,,,,,
stomach,2.0,1,4.127889968346328e-05,,,,,,0.0007922516954355801,,,,,
stomach,3.0,1,3.679682686443368e-05,,,,,,0.005168188981513066,,,,,
stomach,4.0,1,4.016009631949711e-05,,,,,,0.0,,,,,
breast,2.0,1,2.911548884174584e-05,,,,,,0.0,,,,,
breast,3.0,1,2.597956862743438e-05,,,,,,0.008260004500641644,,,,,
breast,4.0,1,2.9552820399810116e-05,,,,,,0.0,,,,,
remainder_tissues,2.0,1,4.647315355053778e-05,,,,,,0.0028898172464372983,,,,,
remainder_tissues,3.0,1,4.659086519507482e-05,,,,,,0.0014357811306932033,,,,,
remainder_tissues,4.0,1,4.795961716252081e-05,,,,,,0.00194232484445512,,,,,
red_bone_marrow,2.0,1,3.935241101903941e-05,,,,,,0.002220590724899312,,,,,
red_bone_marrow,3.0,1,4.680533653505476e-05,,,,,,0.0013154184641205595,,,,,
red_bone_marrow,4.0,1,4.4485325376916144e-05,,,,,,0.0011584619693337116,,,,,
