categoria,offset_x_m,n_repeticiones,D_equivalente_GCR_Sv_dia_media,D_equivalente_GCR_Sv_dia_std,D_equivalente_GCR_Sv_dia_sem,D_equivalente_GCR_Sv_dia_ic95_low,D_equivalente_GCR_Sv_dia_ic95_high,D_equivalente_GCR_Sv_dia_cv_pct,D_equivalente_SEP_Sv_evento_media,D_equivalente_SEP_Sv_evento_std,D_equivalente_SEP_Sv_evento_sem,D_equivalente_SEP_Sv_evento_ic95_low,D_equivalente_SEP_Sv_evento_ic95_high,D_equivalente_SEP_Sv_evento_cv_pct
colon,0.0,1,0.14629084613309315,,,,,,0.0,,,,,
colon,1.0,1,6.700388534110317e-05,,,,,,0.001848469915719245,,,,,
colon,2.0,1,5.204928642779914e-05,,,,,,0.006292957741803844,,,,,
colon,3.0,1,6.269525169858668e-05,,,,,,0.0,,,,,
colon,4.0,1,5.985461926438014e-05,,,,,,0.0,,,,,
lung,0.0,1,0.06618356386478931,,,,,,0.5321476914904731,,,,,
lung,1.0,1,0.00010242587246156816,,,,,,0.0029964770113235324,,,,,
lung,2.0,1,6.665227008454168e-05,,,,,,0.0020825763153671712,,,,,
lung,3.0,1,0.0001081409790076108,,,,,,0.008199556706302144,,,,,
lung,4.0,1,7.099283373390312e-05,,,,,,0.00304630434218869,,,,,
stomach,0.0,1,0.10136758912929619,,,,,,0.0,,,,,
stomach,1.0,1,4.046575827108923e-05,,,,,,0.00029220730893266493,,,,,
stomach,2.0,1,4.192731601679739e-05,,,,,,0.0007922516954355801,,,,,
stomach,3.0,1,3.741376639741156e-05,,,,,,0.005168188981513066,,,,,
stomach,4.0,1,4.06169810337545e-05,,,,,,0.0,,,,,
breast,0.0,1,0.06053943458196765,,,,,,0.0,,,,,
breast,1.0,1,4.8113683079134805e-05,,,,,,0.0,,,,,
breast,2.0,1,2.9364693958186168e-05,,,,,,0.0,,,,,
breast,3.0,1,2.6395016799437198e-05,,,,,,0.008260004500641644,,,,,
breast,4.0,1,2.9838340797917784e-05,,,,,,0.0,,,,,
remainder_tissues,0.0,1,0.12906213787447257,,,,,,1.1197398264142295,,,,,
remainder_tissues,1.0,1,5.251723307055813e-05,,,,,,0.0011998243566093804,,,,,
remainder_tissues,2.0,1,4.894194767763727e-05,,,,,,0.0028898172464372983,,,,,
remainder_tissues,3.0,1,4.906999846458454e-05,,,,,,0.0014357811306932033,,,,,
remainder_tissues,4.0,1,5.050913213209768e-05,,,,,,0.00194232484445512,,,,,
red_bone_marrow,0.0,1,0.13664326640896762,,,,,,0.7870037498069276,,,,,
red_bone_marrow,1.0,1,4.497448072193734e-05,,,,,,0.0006705399730031726,,,,,
red_bone_marrow,2.0,1,4.2003532571164074e-05,,,,,,0.002220590724899312,,,,,
red_bone_marrow,3.0,1,4.9340326482529364e-05,,,,,,0.0013154184641205595,,,,,
red_bone_marrow,4.0,1,4.725381946810565e-05,,,,,,0.0011584619693337116,,,,,
