species,phase,n_bins,bin_index,energy_mev,seed1,seed2,exit_code,duration_s,out_path
SEP_p,max,8,0,0.019046714781460566,2036291900,2036291901,0,21.88,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins8_bin0.out
SEP_p,max,8,1,0.0690971659970209,2036291902,2036291903,0,21.47,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins8_bin1.out
SEP_p,max,8,2,0.25066886355998363,2036291904,2036291905,0,22.24,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins8_bin2.out
SEP_p,max,8,3,0.9093698453734381,2036291906,2036291907,0,25.93,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins8_bin3.out
SEP_p,max,8,4,3.2989877718762846,2036291908,2036291909,0,34.46,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins8_bin4.out
SEP_p,max,8,5,11.967980216586083,2036291910,2036291911,0,20.04,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins8_bin5.out
SEP_p,max,8,6,43.41712075614423,2036291912,2036291913,0,23.28,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins8_bin6.out
SEP_p,max,8,7,157.50747750578486,2036291914,2036291915,0,31.59,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins8_bin7.out
SEP_p,max,16,0,0.01380098358141932,2036301900,2036301901,0,24.97,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins16_bin0.out
SEP_p,max,16,1,0.026286339797891394,2036301902,2036301903,0,20.29,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins16_bin1.out
SEP_p,max,16,2,0.050066841677899314,2036301904,2036301905,0,56.3,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins16_bin2.out
SEP_p,max,16,3,0.09536088534474908,2036301906,2036301907,0,20.32,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins16_bin3.out
SEP_p,max,16,4,0.18163115844689987,2036301908,2036301909,0,22.18,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins16_bin4.out
SEP_p,max,16,5,0.3459476870364374,2036301910,2036301911,0,36.07,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins16_bin5.out
SEP_p,max,16,6,0.6589166924289006,2036301912,2036301913,0,32.54,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins16_bin6.out
SEP_p,max,16,7,1.2550198305436646,2036301914,2036301915,0,20.07,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins16_bin7.out
SEP_p,max,16,8,2.390400475744215,2036301916,2036301917,0,36.59,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins16_bin8.out
SEP_p,max,16,9,4.5529276074967715,2036301918,2036301919,0,19.81,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/fase8_binning_prod/outs/SEP_p_max_bins16_bin9.out
