combo_label,M,organo_id,n_seeds_con_datos,edep_medio_J,s_between_J,se_within_medio_J,ratio_se_within_sobre_s_between,ic95_s_between_low,ic95_s_between_high
GCR_He_min_6,2500,0,3,2.67958e-10,1.5729881372724973e-11,1.0564994309793333e-12,0.06716512387761957,2.2887965469335174e-10,3.0703634530664827e-10
GCR_He_min_6,2500,1,3,1.69767e-11,2.963236674651554e-12,2.5934151333333334e-12,0.8751967588408348,9.615017908859274e-12,2.4338382091140728e-11
GCR_He_min_6,2500,2,3,1.6171746666666664e-11,5.831291786777037e-12,2.0237374e-12,0.3470478710375977,1.684845676896608e-12,3.065864765643672e-11
GCR_He_min_6,2500,3,3,5.9063933333333335e-12,1.399027832901595e-12,8.6985809e-13,0.6217589597169824,2.430735033548632e-12,9.382051633118035e-12
GCR_He_min_6,2500,4,3,1.6976333333333332e-11,3.927166475123424e-12,1.49195749e-12,0.379906861461255,7.2199236087392115e-12,2.6732743057927453e-11
GCR_He_min_6,2500,5,3,2.1301833333333335e-11,4.508827156072111e-12,1.7627704666666665e-12,0.39095986731110655,1.010038175477924e-11,3.250328491188743e-11
GCR_He_min_6,2500,6,3,2.7507566666666662e-12,1.985053039224225e-12,4.353578866666667e-13,0.21931801219619207,-2.18078644422569e-12,7.682299777559022e-12
GCR_He_min_6,2500,7,3,9.068146666666667e-12,5.927823390472538e-12,1.6720173666666665e-12,0.28206261498174984,-5.658571474474811e-12,2.3794864807808145e-11
GCR_He_min_6,2500,8,3,1.037265e-10,1.3708700296162289e-11,8.436278033333334e-12,0.6153959055983627,6.966945206779575e-11,1.3778354793220425e-10
GCR_He_min_6,2500,9,3,2.3232826666666666e-13,1.492785054628205e-13,9.62363e-14,0.6446762023884861,-1.3853002813596603e-13,6.031865614692993e-13
GCR_He_min_6,2500,10,3,1.2316966666666667e-09,1.65014599455119e-10,3.0118007566666665e-11,0.18251722978522408,8.217445923092054e-10,1.641648741024128e-09
GCR_He_min_6,2500,11,3,3.386603333333333e-11,3.9852166971613144e-12,3.279279656666667e-12,0.8228610652470946,2.396540722412885e-11,4.376665944253781e-11
GCR_He_min_6,2500,12,3,2.2488166666666668e-10,2.5572146846389982e-11,1.6097110066666667e-11,0.6294782430024679,1.6135180518733456e-10,2.8841152814599877e-10
GCR_He_min_6,2500,13,3,1.5302433333333333e-10,1.2820936952240797e-11,1.47855321e-11,1.1532333522173541,1.2117278979638182e-10,1.8487587687028485e-10
