combo_label,organo_id,SE_sqrtM_M2500,SE_sqrtM_M5000,SE_sqrtM_M10000,SE_sqrtM_M20000
GCR_He_min_6,0,5.2824971548966665e-11,9.29921080865992e-11,2.002042727646333e-10,
GCR_He_min_6,1,1.2967075666666668e-10,3.843170341882305e-10,5.591035460000001e-10,
GCR_He_min_6,2,1.0118687e-10,3.7551068296611733e-10,6.102934583333333e-10,
GCR_He_min_6,3,4.34929045e-11,2.008937963065446e-10,4.1991383333333335e-10,
GCR_He_min_6,4,7.459787449999999e-11,4.853654871721413e-10,7.251665026666666e-10,
GCR_He_min_6,5,8.813852333333333e-11,2.9500102490409433e-10,5.895478983333333e-10,
GCR_He_min_6,6,2.1767894333333335e-11,2.81676359873744e-10,2.6692200666666666e-10,
GCR_He_min_6,7,8.360086833333332e-11,1.6901075506511297e-10,3.84847702e-10,
GCR_He_min_6,8,4.218139016666667e-10,6.144637923062241e-10,1.8281674986666667e-09,
GCR_He_min_6,9,4.811815e-12,3.76452949421096e-11,9.098032999999999e-11,
GCR_He_min_6,10,1.5059003783333332e-09,3.5123953179071146e-09,7.843591027666666e-09,
GCR_He_min_6,11,1.6396398283333334e-10,3.627738419312261e-10,9.38120281e-10,
GCR_He_min_6,12,8.048555033333333e-10,1.6648972349803432e-09,2.9289112800000003e-09,
GCR_He_min_6,13,7.39276605e-10,1.169936723152074e-09,3.063250317666666e-09,
GCR_He_min_6,14,4.810267055e-10,1.1174018472487982e-09,2.144458757e-09,
GCR_He_min_6,15,2.1619692466666668e-10,6.280028761542607e-10,1.0858033153333334e-09,
GCR_He_min_6,16,7.270406513333334e-10,1.2970234643500662e-09,4.2177337829999996e-09,
GCR_He_min_6,17,4.720748316666667e-10,9.615741845369473e-10,1.8596148796666665e-09,
GCR_He_min_6,18,2.327773075e-10,7.508112154467818e-10,1.2970204803333335e-09,
GCR_He_min_6,19,1.6578027585e-09,3.687228078374427e-09,7.149019332000001e-09,
GCR_He_min_6,20,1.3546660001666666e-09,2.198709255375066e-09,4.761279242666667e-09,
GCR_He_min_6,21,2.644125968333334e-10,9.626403830047397e-10,9.416424466666667e-10,
GCR_He_min_6,22,1.9075818550000002e-09,3.3369686839101277e-09,5.396792315666668e-09,
GCR_He_min_6,23,7.945373553333333e-10,1.857136269380823e-09,3.7160316080000005e-09,
GCR_He_min_6,24,3.621622783333333e-10,4.0791585798303587e-10,1.2149060049999998e-09,
GCR_He_min_6,25,2.9128090400000006e-10,4.746811600412528e-10,9.813051140000001e-10,
GCR_He_min_6,26,5.182463003333333e-10,1.3769491735974932e-09,3.966868433333333e-09,
GCR_He_min_6,27,4.798662548333333e-10,1.1304193217588775e-09,2.245292226666667e-09,
GCR_He_min_6,28,2.952488806666667e-09,6.7262284123278765e-09,1.3317726446666666e-08,
GCR_He_min_6,29,2.837258364e-09,6.478524049054643e-09,1.3471156669000001e-08,
GCR_He_min_6,30,1.1321846183333332e-09,8.999410328552883e-10,2.6987124413333335e-09,
GCR_He_min_6,31,2.4565450216666667e-09,3.521140757065478e-09,8.922431877333333e-09,
GCR_He_min_6,32,1.5339568846666665e-09,2.549880136643265e-09,6.2137075263333325e-09,
GCR_He_min_6,33,5.760427998333333e-10,2.0289340026210847e-09,4.171486444666667e-09,
GCR_He_min_6,34,1.2748124599999999e-09,2.311294244353787e-09,6.4175080453333335e-09,
GCR_He_min_6,35,1.180061339e-09,2.6617259303350705e-09,5.178059087666667e-09,
GCR_He_min_6,36,2.819381433333333e-10,7.940712017466397e-10,1.4393271856666666e-09,
GCR_He_min_6,37,3.9717462333333334e-10,7.562055607821016e-10,2.1913870533333333e-09,
GCR_He_min_6,38,6.76180597e-10,1.5862649348157683e-09,2.6051073133333333e-09,
GCR_He_min_6,39,5.871717513333335e-10,7.562404499020898e-10,1.7997397566666666e-09,
GCR_He_min_6,40,2.1811761366666668e-10,4.625221937737072e-10,1.6043473110000001e-09,
GCR_He_min_6,41,5.3981196635e-09,8.575885813631012e-09,1.7910777149333337e-08,
GCR_He_min_6,42,4.837846035333333e-09,9.144992413284973e-09,1.9144084289533338e-08,
GCR_He_min_6,43,9.806242426666667e-10,3.5233598005090065e-09,6.003492849000001e-09,
GCR_He_min_6,44,1.6712092311666669e-09,3.3999557659440405e-09,6.243615513e-09,
GCR_He_min_6,45,7.263659383333334e-10,2.171683348291274e-09,3.0307316506666663e-09,
GCR_He_min_6,46,3.766057343333333e-10,1.6540615806343195e-09,1.9383621526666667e-09,
GCR_He_min_6,47,3.8522267833333336e-10,6.065916373293959e-10,1.5061415106666669e-09,
GCR_He_min_6,48,2.2882981116666663e-10,8.259586576914087e-10,1.5340787546666666e-09,
GCR_He_min_6,49,1.1132129773333332e-09,2.689411077549305e-09,5.774182389333334e-09,
GCR_He_min_6,50,8.449170268333333e-10,2.6337160907649204e-09,4.397648218e-09,
GCR_He_min_6,51,1.8470870616666666e-09,4.396077956972559e-09,8.537054566333334e-09,
GCR_He_min_6,52,2.3955986493333332e-09,4.949605576252182e-09,9.222260255666666e-09,
GCR_He_min_6,53,2.3124018488333335e-09,5.332037704178074e-09,1.1028866569999998e-08,
GCR_He_min_6,54,2.4525202283333333e-09,5.461657839031729e-09,9.643143513666667e-09,
GCR_He_min_6,55,2.2353373500000002e-10,2.0664469245810314e-10,6.226704466666668e-10,
GCR_He_min_6,56,7.123704976666666e-10,9.722783997531633e-10,2.3852825066666665e-09,
GCR_He_min_6,57,4.969139e-11,3.065188829089822e-10,4.883175626666666e-10,
GCR_He_min_6,58,1.3510751765e-09,2.520005034472862e-09,5.879920462000001e-09,
GCR_He_min_6,59,1.5820019166666667e-10,2.167326655287288e-10,8.382830269999999e-10,
GCR_He_min_6,60,4.2091781000000005e-10,5.197947558216108e-10,1.7059510386666667e-09,
GCR_He_min_6,61,1.4162278066666668e-09,2.139086510095697e-09,4.465236088666667e-09,
GCR_He_min_6,62,2.101211706666667e-10,2.9283753035508207e-10,6.564194743333333e-10,
GCR_He_min_6,63,4.9383498000000005e-11,1.3259402091435782e-10,5.016262613333333e-10,
GCR_He_min_6,64,1.300461e-10,1.5766082384275063e-10,3.487244963333333e-10,
GCR_He_min_6,65,1.8917000833333335e-10,1.4480478133941182e-10,1.8163283633333335e-10,
GCR_He_min_6,66,1.07937e-12,5.8713374138957906e-12,1.3126070000000002e-11,
GCR_He_min_6,67,1.9919825e-11,5.026821619551488e-10,1.1015803533333333e-10,
GCR_He_min_6,68,4.89163e-12,4.5282246168823044e-12,8.03775e-12,
GCR_He_min_6,69,2.370453553333333e-10,1.4944133070823347e-10,2.353274533333333e-10,
GCR_He_min_6,70,4.246572633333333e-10,5.392581872290129e-10,9.73021418e-10,
