combo_label,M,seed_idx,organo_id,edep_J,s1_j,s2_j2,n,se_run_j,se_run_total_j
GCR_He_min_6,2500,0,0,2.59326e-10,2.59326e-10,9.20509e-25,2535338,3.72932e-19,9.45508671016e-13
GCR_He_min_6,2500,0,1,1.88444e-11,1.88444e-11,6.69164e-24,152,1.37753e-14,2.0938456e-12
GCR_He_min_6,2500,0,2,1.76009e-11,1.76009e-11,4.6474e-24,144,1.10098e-14,1.5854112e-12
GCR_He_min_6,2500,0,3,4.29104e-12,4.29104e-12,6.14106e-25,57,9.54921e-15,5.4430497e-13
GCR_He_min_6,2500,0,4,1.44407e-11,1.44407e-11,3.16028e-24,157,8.64879e-15,1.3578600299999999e-12
GCR_He_min_6,2500,0,5,1.84002e-11,1.84002e-11,5.06542e-24,162,1.0681e-14,1.730322e-12
GCR_He_min_6,2500,0,6,8.7161e-13,8.7161e-13,7.81778e-26,17,1.10961e-14,1.886337e-13
GCR_He_min_6,2500,0,7,4.14727e-12,4.14727e-12,9.03105e-25,49,1.53209e-14,7.507241e-13
GCR_He_min_6,2500,0,8,9.68176e-11,9.68176e-11,1.12814e-22,861,1.17326e-14,1.01017686e-11
GCR_He_min_6,2500,0,9,3.02323e-13,3.02323e-13,3.26421e-26,6,2.40893e-14,1.445358e-13
GCR_He_min_6,2500,0,10,1.07117e-09,1.07117e-09,7.17432e-22,9479,2.57646e-15,2.4422264340000002e-11
GCR_He_min_6,2500,0,11,3.45149e-11,3.45149e-11,1.34051e-23,347,9.11359e-15,3.1624157300000004e-12
GCR_He_min_6,2500,0,12,2.42386e-10,2.42386e-10,5.13899e-22,1346,1.61169e-14,2.16933474e-11
GCR_He_min_6,2500,0,13,1.60412e-10,1.60412e-10,9.32349e-23,990,8.28719e-15,8.2043181e-12
GCR_He_min_6,2500,0,14,1.96135e-10,1.96135e-10,1.76909e-22,1446,8.48143e-15,1.226414778e-11
GCR_He_min_6,2500,0,15,7.37618e-11,7.37618e-11,2.37425e-23,687,5.79432e-15,3.98069784e-12
GCR_He_min_6,2500,0,16,1.97179e-10,1.97179e-10,6.02324e-22,1145,2.08305e-14,2.38509225e-11
GCR_He_min_6,2500,0,17,8.60953e-11,8.60953e-11,2.79337e-23,835,5.23114e-15,4.3680019e-12
GCR_He_min_6,2500,0,18,5.84444e-11,5.84444e-11,2.29239e-23,644,6.5231e-15,4.2008764e-12
GCR_He_min_6,2500,0,19,6.33157e-10,6.33157e-10,1.79582e-21,3684,1.11506e-14,4.10788104e-11
GCR_He_min_6,2500,0,20,5.07883e-10,5.07883e-10,1.79068e-21,3890,1.06763e-14,4.1530807e-11
GCR_He_min_6,2500,0,21,5.89236e-11,5.89236e-11,1.17757e-23,673,3.82497e-15,2.57420481e-12
