combo_label,M,organo_id,n_seeds_con_datos,edep_medio_J,s_between_J,se_within_medio_J,ratio_se_within_sobre_s_between,ic95_s_between_low,ic95_s_between_high
GCR_H_min_2,2500,0,3,2.30577e-13,1.605694529199125e-13,9.633059829999999e-15,0.05999310363724473,-1.6833182697845325e-13,6.294858269784532e-13
GCR_H_min_2,2500,12,2,8.800549999999999e-13,2.3796264507270874e-13,1.4255829999999998e-13,0.5990784812315468,-1.257920089999999e-12,3.0180300899999986e-12
GCR_H_min_2,2500,34,2,6.554525e-13,1.8617767995251205e-13,2.230815e-13,1.1982182829698003,-1.0172606349999999e-12,2.3281656349999997e-12
GCR_H_min_2,2500,107,2,2.12556843e-12,3.000524993466665e-12,3.4429879000000004e-13,0.11474618300119989,-2.4832644658419997e-11,2.9083781518419997e-11
GCR_H_min_2,2500,108,2,9.964145449999999e-12,1.4017337711523233e-11,1.0594361e-12,0.07558040776381304,-1.1597460786229998e-10,1.3590289876229997e-10
GCR_H_min_2,2500,109,3,1.8017573333333334e-11,1.4179389753093513e-11,1.3470317999999998e-12,0.09499927877404726,-1.7208826400979937e-11,5.3243973067646605e-11
GCR_H_min_2,2500,117,3,1.936588e-11,2.347038960003008e-11,1.8785033333333334e-12,0.08003716024087329,-3.8942505647580555e-11,7.767426564758055e-11
GCR_H_min_2,2500,118,2,2.550465e-12,8.130808744829753e-13,4.2755879999999996e-13,0.5258502732238999,-4.754659109999997e-12,9.855589109999998e-12
GCR_H_min_2,2500,119,3,9.058086666666668e-12,8.495588283081598e-12,7.755432333333333e-13,0.09128776106979859,-1.20478279071738e-11,3.0164001240507137e-11
GCR_H_min_2,2500,123,3,1.9187826666666666e-12,1.6037995099641767e-12,2.572644333333333e-13,0.16040934776135435,-2.0655977344269767e-12,5.90316306776031e-12
GCR_H_min_2,2500,124,2,6.754629999999999e-13,3.812917754056596e-13,1.099e-13,0.2882307122493698,-2.7502524839999994e-12,4.101178483999999e-12
GCR_H_min_2,2500,125,3,1.8811833333333335e-12,6.075052764654257e-13,5.532365333333333e-13,0.9106695114685462,3.7193476325247337e-13,3.3904319034141936e-12
GCR_H_min_2,5000,0,3,8.066196666666666e-13,4.9442660588032e-13,2.0472847869999997e-14,0.041407253627762125,-4.2170324153324973e-13,2.034942574866583e-12
GCR_H_min_2,5000,10,2,2.1842e-12,1.3909638914076812e-12,8.423982e-13,0.6056219037774427,-1.0312913359999996e-11,1.4681313359999995e-11
GCR_H_min_2,5000,12,2,5.805589999999999e-13,1.3931276381581127e-13,3.2049900000000003e-13,2.3005716864804966,-6.710963540000004e-13,1.8322143540000003e-12
GCR_H_min_2,5000,19,3,2.6948306666666664e-12,1.9404638162308856e-12,5.714572e-13,0.2944951589512171,-2.1259377338639055e-12,7.515599067197238e-12
GCR_H_min_2,5000,26,3,4.660646666666667e-12,6.067344691587361e-12,1.0749862666666666e-12,0.1771757368848983,-1.0412689573709298e-11,1.973398290704263e-11
GCR_H_min_2,5000,27,3,7.014023333333333e-12,5.725137152683186e-12,1.1289173666666666e-12,0.19718608245700797,-7.209153642966824e-12,2.123720030963349e-11
GCR_H_min_2,5000,34,3,2.2638266666666664e-12,6.84104795505289e-13,5.840424999999999e-13,0.8537325039047831,5.64278984695912e-13,3.963374348637421e-12
GCR_H_min_2,5000,35,3,2.4725766666666667e-12,1.125004266895612e-12,3.2704256666666667e-13,0.29070340112497783,-3.2231441810846246e-13,5.2674677514417955e-12
GCR_H_min_2,5000,37,3,6.39299e-13,4.031510613169709e-13,2.4407693333333334e-13,0.6054230206811533,-3.622645853557029e-13,1.640862585355703e-12
GCR_H_min_2,5000,38,2,3.65267e-12,2.6228428991840132e-12,4.5025e-13,0.17166487559742,-1.9912258779999998e-11,2.7217598779999995e-11
GCR_H_min_2,5000,43,3,1.3884683333333334e-12,6.536381908658134e-13,7.659396e-13,1.171809742306262,-2.3538999865370223e-13,3.012326665320369e-12
GCR_H_min_2,5000,44,3,2.01837e-12,3.280686854913159e-13,8.229344666666667e-13,2.508421263779685,1.2033364296796357e-12,2.8334035703203643e-12
