combo_label,organo_id,SE_total_sobre_sqrtM_M2500,SE_total_sobre_sqrtM_M5000,SE_total_sobre_sqrtM_M10000,SE_total_sobre_sqrtM_M20000
GCR_H_min_2,0,1.9266119659999997e-16,2.8952979118155126e-16,5.406367981333334e-16,2.550068669931608e-16
GCR_H_min_2,2,,,0.0,
GCR_H_min_2,3,,,8.36694e-16,0.0
GCR_H_min_2,4,,,1.4109800000000001e-15,1.7722493028523103e-15
GCR_H_min_2,5,,,1.7650039999999998e-14,3.544977081293224e-15
GCR_H_min_2,6,,,1.404996e-15,9.388030459643811e-15
GCR_H_min_2,7,,,,3.73325510408812e-16
GCR_H_min_2,8,,1.1942453706680214e-14,2.6821620000000002e-15,2.0407228984264375e-15
GCR_H_min_2,10,,1.191330959358683e-14,1.224375e-14,6.526127485662688e-15
GCR_H_min_2,11,,2.180991670610413e-15,,2.719314891554856e-15
GCR_H_min_2,12,2.8511659999999997e-15,4.532540325270146e-15,2.2188760000000002e-15,3.8170795488684e-15
GCR_H_min_2,13,,,,1.3840739607829298e-14
GCR_H_min_2,14,0.0,,,1.4533157895552514e-14
GCR_H_min_2,15,,,,6.116657858580135e-15
GCR_H_min_2,16,,,1.538772e-15,
GCR_H_min_2,17,,,2.244044e-15,
GCR_H_min_2,19,2.249016e-15,8.081625225557542e-15,4.784125e-15,1.772023830070016e-15
GCR_H_min_2,20,4.1376240000000004e-15,5.153275427348319e-15,1.18151025e-14,2.8207076400159765e-15
GCR_H_min_2,21,,2.6830855685139825e-14,,0.0
GCR_H_min_2,22,,,1.2394799999999999e-14,2.8620663156475777e-15
GCR_H_min_2,23,,,1.2362880000000001e-14,1.940486740957078e-15
GCR_H_min_2,24,,5.871161344307274e-15,,1.791993138396601e-15
GCR_H_min_2,25,,5.370504287383076e-15,,1.9107206095985095e-15
GCR_H_min_2,26,,1.5202601576848204e-14,1.2180713999999999e-14,7.711580454911176e-15
GCR_H_min_2,27,,1.59653025073852e-14,3.1876224e-14,3.894234091084008e-15
GCR_H_min_2,28,,6.147221488536752e-15,2.51457e-15,1.869451736528119e-14
GCR_H_min_2,29,,,2.2776960000000002e-15,9.245161655825411e-15
GCR_H_min_2,30,,4.267248003104577e-15,,2.5823341659033983e-15
GCR_H_min_2,31,,0.0,4.268569e-15,1.6074752737617942e-15
GCR_H_min_2,32,0.0,6.83543154810287e-15,3.265575e-15,6.664977483445552e-15
GCR_H_min_2,33,,,3.65556e-15,2.8046103541422644e-15
GCR_H_min_2,34,4.46163e-15,8.259608245022883e-15,1.3204778333333336e-14,1.233771201952561e-14
GCR_H_min_2,35,1.040905e-14,4.625080332533071e-15,1.5777976666666666e-15,6.27053171878753e-15
GCR_H_min_2,36,,,1.3868139999999999e-14,2.1078005326140337e-15
GCR_H_min_2,37,,3.4517690938243376e-15,1.0811735000000001e-15,2.6628505294590274e-15
GCR_H_min_2,38,,6.3674965645848604e-15,1.8666164999999998e-15,3.812218189747742e-15
GCR_H_min_2,39,,3.57389020617142e-14,1.407138e-16,3.799896382681046e-15
GCR_H_min_2,40,,0.0,0.0,2.7362724906790118e-15
GCR_H_min_2,41,,,1.3048900000000001e-14,6.464405548946476e-15
GCR_H_min_2,42,,,1.647305e-14,6.236705144589128e-15
GCR_H_min_2,43,,1.0832021702786235e-14,5.58556e-16,8.973223237023474e-15
GCR_H_min_2,44,,1.1638050837042698e-14,2.60757e-15,5.223899602737408e-15
GCR_H_min_2,45,,1.1785645706884286e-14,9.47089e-15,1.0614698090442797e-14
GCR_H_min_2,46,,1.1334293791598662e-14,5.561344e-15,8.736864781535015e-15
GCR_H_min_2,49,,8.436020073220427e-15,2.2899299999999997e-15,1.8454553608017725e-15
GCR_H_min_2,50,,1.8656636240799466e-14,3.769961e-15,2.4799542963757415e-15
GCR_H_min_2,51,2.2214279999999997e-14,0.0,0.0,2.8922270125900483e-15
GCR_H_min_2,52,1.701742e-14,1.51066292732694e-14,1.994244e-14,1.214399681698791e-14
GCR_H_min_2,56,,3.5446767966134793e-15,3.814069e-15,
GCR_H_min_2,57,,,1.011678e-15,2.5480203951327585e-15
GCR_H_min_2,58,,2.248766441373581e-15,6.83016e-15,1.0722029828759106e-15
GCR_H_min_2,59,,,,1.0802300590559401e-16
GCR_H_min_2,60,,1.6183750890915245e-15,,1.0983065368101931e-15
GCR_H_min_2,61,,1.1378214550800762e-14,7.165229e-15,1.8078709618956585e-14
GCR_H_min_2,66,,,,1.0277224308053706e-15
GCR_H_min_2,67,,,,5.238247035029944e-16
GCR_H_min_2,69,,,,2.72624170958336e-15
GCR_H_min_2,70,,,1.16566e-21,
GCR_H_min_2,71,,,3.548961e-16,
GCR_H_min_2,72,,0.0,1.9007050000000003e-14,
GCR_H_min_2,73,,,1.2377475e-14,
GCR_H_min_2,74,5.3508e-15,4.335147224661234e-15,3.766521666666667e-15,3.3568968126947985e-15
GCR_H_min_2,75,,4.0285400674844975e-15,2.0783053333333334e-15,3.363217404509565e-15
GCR_H_min_2,78,,8.560772094198045e-15,2.1464249999999998e-15,2.4233260033578076e-15
GCR_H_min_2,79,,2.373234205425162e-14,2.601662e-15,3.4303447011634262e-15
GCR_H_min_2,80,,,,1.7186428306637768e-23
GCR_H_min_2,81,,,,5.659979661465224e-23
GCR_H_min_2,82,8.879903999999999e-15,2.8784860422135105e-15,0.0,4.605004628206143e-18
GCR_H_min_2,83,4.8211559999999996e-15,1.318587269712551e-15,3.2106749999999997e-15,0.0
GCR_H_min_2,84,,,8.42872e-15,0.0
GCR_H_min_2,85,,,1.312356e-14,2.670477147498645e-15
GCR_H_min_2,86,,,0.0,
GCR_H_min_2,87,,3.755680864137247e-15,6.57624e-15,0.0
GCR_H_min_2,88,,4.314414853836844e-15,5.965950000000001e-15,
GCR_H_min_2,89,,,4.159095e-15,1.0950831905481542e-14
GCR_H_min_2,90,,,2.1939400000000003e-15,5.7074477396862776e-15
GCR_H_min_2,91,,,,0.0
GCR_H_min_2,92,,,,0.0
GCR_H_min_2,95,,1.828397437367502e-14,2.49336125e-14,5.161868188953297e-15
