combo_label,species,phase,bin_index,energy_mev,M,seed_idx,seed1,seed2,exit_code,duration_s,macro_path,out_path
GCR_He_min_6,GCR_He,min,6,17782.79410038923,2500,0,2033491900,2033491901,0,1506.36,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_He_min_6_M2500_seed0.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_He_min_6_M2500_seed0.out
GCR_He_min_6,GCR_He,min,6,17782.79410038923,2500,1,2033491902,2033491903,0,1735.76,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_He_min_6_M2500_seed1.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_He_min_6_M2500_seed1.out
GCR_He_min_6,GCR_He,min,6,17782.79410038923,2500,2,2033491904,2033491905,0,1775.27,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_He_min_6_M2500_seed2.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_He_min_6_M2500_seed2.out
GCR_He_min_6,GCR_He,min,6,17782.79410038923,5000,0,2033492900,2033492901,0,3224.62,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_He_min_6_M5000_seed0.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_He_min_6_M5000_seed0.out
GCR_He_min_6,GCR_He,min,6,17782.79410038923,5000,1,2033492902,2033492903,0,3317.04,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_He_min_6_M5000_seed1.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_He_min_6_M5000_seed1.out
GCR_He_min_6,GCR_He,min,6,17782.79410038923,5000,2,2033492904,2033492905,0,3887.12,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_He_min_6_M5000_seed2.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_He_min_6_M5000_seed2.out
GCR_He_min_6,GCR_He,min,6,17782.79410038923,10000,0,2033493900,2033493901,0,7682.03,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_He_min_6_M10000_seed0.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_He_min_6_M10000_seed0.out
GCR_He_min_6,GCR_He,min,6,17782.79410038923,10000,1,2033493902,2033493903,0,8219.9,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_He_min_6_M10000_seed1.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_He_min_6_M10000_seed1.out
GCR_He_min_6,GCR_He,min,6,17782.79410038923,10000,2,2033493904,2033493905,0,7762.72,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/GCR_He_min_6_M10000_seed2.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_GCR_He_min_6_M10000_seed2.out
SEP_p_max_0,SEP_p,max,0,0.019046714781460566,2500,0,2034491900,2034491901,0,19.33,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/macros/SEP_p_max_0_M2500_seed0.mac,/home/bryam/Documents/iac-project/geant4/ActiveShield_Sim/scripts/pilots/results/intrarun_pilot_20260921T022121Z/checkpoints/run_SEP_p_max_0_M2500_seed0.out
