# OLTARIS Badhwar-O'Neill 2020, Free Space 1AU, Defined by: Date, 14-15/01/2023 (maximo solar, ver nota)
# NOTA: BON2020 en OLTARIS solo valida datos hasta enero 2023 (confirmado por el usuario, mensaje 'solo valida hasta enero del 2023') -- el pico real del ciclo 25 fue mas tarde (~2024-2025, NOAA/SWPC), asi que esto es la mejor aproximacion al maximo disponible en la herramienta, no el pico real. Job Name interno de OLTARIS quedo mal etiquetado como 'He_min' (residuo de una corrida anterior de minimo), pero la fecha real usada fue enero 2023 -- ver docs/checklist_espectros_reales.md.
# Especie: He (alpha) (Select Specific Ion, Z=2)
# Unidad de energia: MeV/amu. Unidad de flujo: particles/(MeV/amu * day * cm2) (Boundary Flux, 'Save external differential flux' = Si)
# energia_MeV_amu,flujo_diferencial
1.000000E-02,5.4524730E-04
1.160155E-02,6.5362930E-04
1.345960E-02,7.8355530E-04
1.561523E-02,9.3930770E-04
1.811609E-02,1.1260200E-03
2.101748E-02,1.3498460E-03
2.438354E-02,1.6181630E-03
2.828869E-02,1.9398150E-03
3.281928E-02,2.3254040E-03
3.807546E-02,2.7876390E-03
4.417345E-02,3.3417560E-03
5.124806E-02,4.0060180E-03
5.945571E-02,4.8023190E-03
6.897785E-02,5.7569050E-03
8.002502E-02,6.9012410E-03
9.284145E-02,8.2730430E-03
1.077105E-01,9.9164640E-03
1.249609E-01,1.1874870E-02
1.449741E-01,1.4203730E-02
1.681924E-01,1.6969750E-02
1.951293E-01,2.0251200E-02
2.263803E-01,2.4139720E-02
2.626364E-01,2.8742600E-02
3.046990E-01,3.4185390E-02
3.534981E-01,4.0615040E-02
4.101127E-01,4.8203500E-02
4.757944E-01,5.7151920E-02
5.519954E-01,6.7695760E-02
6.404004E-01,8.0110640E-02
7.429640E-01,9.4719340E-02
8.619536E-01,1.1190010E-01
1.000000E+00,1.3209640E-01
1.160155E+00,1.5582860E-01
1.345960E+00,1.8370800E-01
1.561523E+00,2.1645320E-01
1.811609E+00,2.5490970E-01
2.101748E+00,3.0007440E-01
2.438354E+00,3.5312300E-01
2.828869E+00,4.1544500E-01
3.281928E+00,4.8868440E-01
3.807546E+00,5.7478880E-01
4.417345E+00,6.7606870E-01
5.124806E+00,7.9526780E-01
5.945571E+00,9.3564650E-01
6.897785E+00,1.1010780E+00
8.002502E+00,1.2961630E+00
9.284145E+00,1.5263470E+00
1.077105E+01,1.7980570E+00
1.249609E+01,2.1188230E+00
1.449741E+01,2.4973810E+00
1.681924E+01,2.9437110E+00
1.951293E+01,3.4689800E+00
2.263803E+01,4.0853010E+00
2.626364E+01,4.8052410E+00
3.046990E+01,5.6409820E+00
3.534981E+01,6.6030750E+00
4.101127E+01,7.6987300E+00
4.757944E+01,8.9297040E+00
5.519954E+01,1.0289950E+01
6.404004E+01,1.1763320E+01
7.429640E+01,1.3321730E+01
8.619536E+01,1.4924230E+01
1.000000E+02,1.6517520E+01
1.160155E+02,1.8038070E+01
1.345960E+02,1.9416020E+01
1.561523E+02,2.0580510E+01
1.811609E+02,2.1465830E+01
2.101748E+02,2.2017760E+01
2.438354E+02,2.2198990E+01
2.828869E+02,2.1993070E+01
3.281928E+02,2.1406100E+01
3.807546E+02,2.0466200E+01
4.417345E+02,1.9220690E+01
5.124806E+02,1.7731540E+01
5.945571E+02,1.6069720E+01
6.897785E+02,1.4309180E+01
8.002502E+02,1.2521200E+01
9.284145E+02,1.0769630E+01
1.077105E+03,9.1074650E+00
1.249609E+03,7.5748680E+00
1.449741E+03,6.1985980E+00
1.681924E+03,4.9927170E+00
1.951293E+03,3.9601600E+00
2.263803E+03,3.0949520E+00
2.626364E+03,2.3846140E+00
3.046990E+03,1.8125360E+00
3.534981E+03,1.3600700E+00
4.101127E+03,1.0082350E+00
4.757944E+03,7.3895950E-01
5.519954E+03,5.3589550E-01
6.404004E+03,3.8484430E-01
7.429640E+03,2.7389190E-01
8.619536E+03,1.9333040E-01
1.000000E+04,1.3544860E-01
1.160155E+04,9.4257360E-02
1.345960E+04,6.5195540E-02
1.561523E+04,4.4849690E-02
1.811609E+04,3.0704180E-02
2.101748E+04,2.0929920E-02
2.438354E+04,1.4213000E-02
2.828869E+04,9.6193720E-03
3.281928E+04,6.4912190E-03
3.807546E+04,4.3690010E-03
4.417345E+04,2.9339600E-03
5.124806E+04,1.9663790E-03
5.945571E+04,1.3156210E-03
6.897785E+04,8.7890570E-04
8.002502E+04,5.8638960E-04
9.284145E+04,3.9078480E-04
1.077105E+05,2.6017260E-04
1.249609E+05,1.7306730E-04
1.449741E+05,1.1503950E-04
1.681924E+05,7.6419070E-05
1.951293E+05,5.0735960E-05
2.263803E+05,3.3668360E-05
2.626364E+05,2.2333050E-05
3.046990E+05,1.4808780E-05
3.534981E+05,9.8165040E-06
4.101127E+05,6.5054640E-06
4.757944E+05,4.3102240E-06
5.519954E+05,2.8551900E-06
6.404004E+05,1.8910190E-06
7.429640E+05,1.2522530E-06
8.619536E+05,8.2915010E-07
1.000000E+06,5.4894160E-07
