# OLTARIS Badhwar-O'Neill 2020, Free Space 1AU, Defined by: Date, 14-15/01/2023 (maximo solar, ver nota)
# NOTA: BON2020 en OLTARIS solo valida datos hasta enero 2023 (confirmado por el usuario, mensaje 'solo valida hasta enero del 2023') -- el pico real del ciclo 25 fue mas tarde (~2024-2025, NOAA/SWPC), asi que esto es la mejor aproximacion al maximo disponible en la herramienta, no el pico real. Job Name interno de OLTARIS quedo mal etiquetado como 'H_min' (residuo de una corrida anterior de minimo), pero la fecha real usada fue enero 2023 -- ver docs/checklist_espectros_reales.md.
# Especie: H (proton) (Select Specific Ion, Z=1)
# Unidad de energia: MeV/amu. Unidad de flujo: particles/(MeV/amu * day * cm2) (Boundary Flux, 'Save external differential flux' = Si)
# energia_MeV_amu,flujo_diferencial
1.000000E-02,1.1667480E-03
1.160155E-02,1.4059340E-03
1.345960E-02,1.6941540E-03
1.561523E-02,2.0414600E-03
1.811609E-02,2.4599630E-03
2.101748E-02,2.9642610E-03
2.438354E-02,3.5719410E-03
2.828869E-02,4.3041970E-03
3.281928E-02,5.1865680E-03
3.807546E-02,6.2498260E-03
4.417345E-02,7.5310550E-03
5.124806E-02,9.0749370E-03
5.945571E-02,1.0935320E-02
6.897785E-02,1.3177080E-02
8.002502E-02,1.5878420E-02
9.284145E-02,1.9133530E-02
1.077105E-01,2.3053680E-02
1.249609E-01,2.7752310E-02
1.449741E-01,3.3372670E-02
1.681924E-01,4.0087200E-02
1.951293E-01,4.8099080E-02
2.263803E-01,5.7647180E-02
2.626364E-01,6.9012230E-02
3.046990E-01,8.2523740E-02
3.534981E-01,9.8568300E-02
4.101127E-01,1.1759920E-01
4.757944E-01,1.4014760E-01
5.519954E-01,1.6683550E-01
6.404004E-01,1.9839170E-01
7.429640E-01,2.3566930E-01
8.619536E-01,2.7966760E-01
1.000000E+00,3.3155710E-01
1.160155E+00,3.9270900E-01
1.345960E+00,4.6473130E-01
1.561523E+00,5.4950980E-01
1.811609E+00,6.4925790E-01
2.101748E+00,7.6657670E-01
2.438354E+00,9.0452470E-01
2.828869E+00,1.0667040E+00
3.281928E+00,1.2573600E+00
3.807546E+00,1.4815060E+00
4.417345E+00,1.7450720E+00
5.124806E+00,2.0550770E+00
5.945571E+00,2.4198560E+00
6.897785E+00,2.8493100E+00
8.002502E+00,3.3552330E+00
9.284145E+00,3.9516880E+00
1.077105E+01,4.6554680E+00
1.249609E+01,5.4866460E+00
1.449741E+01,6.4692160E+00
1.681924E+01,7.6318150E+00
1.951293E+01,9.0085680E+00
2.263803E+01,1.0639900E+01
2.626364E+01,1.2573350E+01
3.046990E+01,1.4864120E+01
3.534981E+01,1.7575210E+01
4.101127E+01,2.0776640E+01
4.757944E+01,2.4543420E+01
5.519954E+01,2.8951460E+01
6.404004E+01,3.4071110E+01
7.429640E+01,3.9957610E+01
8.619536E+01,4.6638590E+01
1.000000E+02,5.4099300E+01
1.160155E+02,6.2267010E+01
1.345960E+02,7.0997140E+01
1.561523E+02,8.0064240E+01
1.811609E+02,8.9161290E+01
2.101748E+02,9.7910010E+01
2.438354E+02,1.0588310E+02
2.828869E+02,1.1263780E+02
3.281928E+02,1.1775670E+02
3.807546E+02,1.2089150E+02
4.417345E+02,1.2180120E+02
5.124806E+02,1.2038170E+02
5.945571E+02,1.1667850E+02
6.897785E+02,1.1088340E+02
8.002502E+02,1.0331430E+02
9.284145E+02,9.4381940E+01
1.077105E+03,8.4548840E+01
1.249609E+03,7.4286300E+01
1.449741E+03,6.4035140E+01
1.681924E+03,5.4174720E+01
1.951293E+03,4.5002350E+01
2.263803E+03,3.6724720E+01
2.626364E+03,2.9459280E+01
3.046990E+03,2.3244090E+01
3.534981E+03,1.8052790E+01
4.101127E+03,1.3811990E+01
4.757944E+03,1.0418610E+01
5.519954E+03,7.7550150E+00
6.404004E+03,5.7011600E+00
7.429640E+03,4.1432940E+00
8.619536E+03,2.9793700E+00
1.000000E+04,2.1217170E+00
1.160155E+04,1.4976570E+00
1.345960E+04,1.0487250E+00
1.561523E+04,7.2908670E-01
1.811609E+04,5.0360450E-01
2.101748E+04,3.4585440E-01
2.438354E+04,2.3630240E-01
2.828869E+04,1.6071950E-01
3.281928E+04,1.0887410E-01
3.807546E+04,7.3492860E-02
4.417345E+04,4.9455800E-02
5.124806E+04,3.3190050E-02
5.945571E+04,2.2221100E-02
6.897785E+04,1.4846420E-02
8.002502E+04,9.9013010E-03
9.284145E+04,6.5929420E-03
1.077105E+05,4.3840170E-03
1.249609E+05,2.9117210E-03
1.449741E+05,1.9318770E-03
1.681924E+05,1.2806270E-03
1.951293E+05,8.4826120E-04
2.263803E+05,5.6149540E-04
2.626364E+05,3.7145930E-04
3.046990E+05,2.4561770E-04
3.534981E+05,1.6233810E-04
4.101127E+05,1.0725540E-04
4.757944E+05,7.0839860E-05
5.519954E+05,4.6775170E-05
6.404004E+05,3.0877970E-05
7.429640E+05,2.0379430E-05
8.619536E+05,1.3448000E-05
1.000000E+06,8.8727140E-06
