# OLTARIS Badhwar-O'Neill 2020, Free Space 1AU, Defined by: Date, 31/12/2019-01/01/2020 (minimo solar), duracion de mision: 1 dia
# Especie: H (proton) (Select Specific Ion, Z=1)
# Unidad de energia: MeV/amu. Unidad de flujo: particles/(MeV/amu * day * cm2) (Boundary Flux, 'Save external differential flux' = Si)
# energia_MeV_amu,flujo_diferencial
1.000000E-02,4.7583840E-03
1.160155E-02,5.7158320E-03
1.345960E-02,6.8659330E-03
1.561523E-02,8.2474510E-03
1.811609E-02,9.9069460E-03
2.101748E-02,1.1900360E-02
2.438354E-02,1.4294860E-02
2.828869E-02,1.7171180E-02
3.281928E-02,2.0626250E-02
3.807546E-02,2.4776520E-02
4.417345E-02,2.9761880E-02
5.124806E-02,3.5750360E-02
5.945571E-02,4.2943810E-02
6.897785E-02,5.1584660E-02
8.002502E-02,6.1964180E-02
9.284145E-02,7.4432190E-02
1.077105E-01,8.9399580E-02
1.249609E-01,1.0727530E-01
1.449741E-01,1.2857980E-01
1.681924E-01,1.5393930E-01
1.951293E-01,1.8408940E-01
2.263803E-01,2.1989250E-01
2.626364E-01,2.6235960E-01
3.046990E-01,3.1267470E-01
3.534981E-01,3.7222460E-01
4.101127E-01,4.4263280E-01
4.757944E-01,5.2579910E-01
5.519954E-01,6.2394770E-01
6.404004E-01,7.3968180E-01
7.429640E-01,8.7604970E-01
8.619536E-01,1.0366220E+00
1.000000E+00,1.2255820E+00
1.160155E+00,1.4478360E+00
1.345960E+00,1.7091430E+00
1.561523E+00,2.0162650E+00
1.811609E+00,2.3771530E+00
2.101748E+00,2.8011660E+00
2.438354E+00,3.2993320E+00
2.828869E+00,3.8846670E+00
3.281928E+00,4.5725540E+00
3.807546E+00,5.3811970E+00
4.417345E+00,6.3321770E+00
5.124806E+00,7.4511130E+00
5.945571E+00,8.7684620E+00
6.897785E+00,1.0320460E+01
8.002502E+00,1.2150280E+01
9.284145E+00,1.4309300E+01
1.077105E+01,1.6858650E+01
1.249609E+01,1.9870830E+01
1.449741E+01,2.3431470E+01
1.681924E+01,2.7640850E+01
1.951293E+01,3.2615230E+01
2.263803E+01,3.8486990E+01
2.626364E+01,4.5403320E+01
3.046990E+01,5.3522230E+01
3.534981E+01,6.3004910E+01
4.101127E+01,7.4003040E+01
4.757944E+01,8.6640270E+01
5.519954E+01,1.0098780E+02
6.404004E+01,1.1703480E+02
7.429640E+01,1.3465700E+02
8.619536E+01,1.5358710E+02
1.000000E+02,1.7339440E+02
1.160155E+02,1.9347880E+02
1.345960E+02,2.1308610E+02
1.561523E+02,2.3134580E+02
1.811609E+02,2.4733300E+02
2.101748E+02,2.6014660E+02
2.438354E+02,2.6899480E+02
2.828869E+02,2.7327730E+02
3.281928E+02,2.7265050E+02
3.807546E+02,2.6706590E+02
4.417345E+02,2.5677780E+02
5.124806E+02,2.4231720E+02
5.945571E+02,2.2443850E+02
6.897785E+02,2.0404570E+02
8.002502E+02,1.8211020E+02
9.284145E+02,1.5958900E+02
1.077105E+03,1.3735480E+02
1.249609E+03,1.1614260E+02
1.449741E+03,9.6517100E+01
1.681924E+03,7.8861930E+01
1.951293E+03,6.3385590E+01
2.263803E+03,5.0143030E+01
2.626364E+03,3.9065230E+01
3.046990E+03,2.9992890E+01
3.534981E+03,2.2709380E+01
4.101127E+03,1.6969990E+01
4.757944E+03,1.2525470E+01
5.519954E+03,9.1390210E+00
6.404004E+03,6.5972290E+00
7.429640E+03,4.7156670E+00
8.619536E+03,3.3404400E+00
1.000000E+04,2.3468880E+00
1.160155E+04,1.6366130E+00
1.345960E+04,1.1336620E+00
1.561523E+04,7.8055960E-01
1.811609E+04,5.3455670E-01
2.101748E+04,3.6433820E-01
2.438354E+04,2.4727250E-01
2.828869E+04,1.6719450E-01
3.281928E+04,1.1267740E-01
3.807546E+04,7.5717340E-02
4.417345E+04,5.0751950E-02
5.124806E+04,3.3942800E-02
5.945571E+04,2.2657000E-02
6.897785E+04,1.5098200E-02
8.002502E+04,1.0046420E-02
9.284145E+04,6.6764180E-03
1.077105E+05,4.4319560E-03
1.249609E+05,2.9392110E-03
1.449741E+05,1.9476210E-03
1.681924E+05,1.2896340E-03
1.951293E+05,8.5340970E-04
2.263803E+05,5.6443570E-04
2.626364E+05,3.7313730E-04
3.046990E+05,2.4657470E-04
3.534981E+05,1.6288370E-04
4.101127E+05,1.0756620E-04
4.757944E+05,7.1016910E-05
5.519954E+05,4.6875980E-05
6.404004E+05,3.0935350E-05
7.429640E+05,2.0412080E-05
8.619536E+05,1.3466570E-05
1.000000E+06,8.8832690E-06
