# OLTARIS Historical SPE, Free Space 1AU, evento Octubre 1989 (maximo severidad)
# Especie: proton (unica especie con datos != 1e-20 en el export; SPE solo reporta proton)
# Unidad de energia: MeV. Unidad: particles/(MeV*cm2) (Boundary Fluence, evento puntual, sin factor de tiempo -- 'Save external differential flux' = Si)
# energia_MeV,fluencia_diferencial
1.000000E-02,1.2613570E+11
1.338088E-02,1.0824510E+11
1.790479E-02,9.2785190E+10
2.390681E-02,7.9519070E+10
3.183221E-02,6.8149140E+10
4.210285E-02,5.8518730E+10
5.510735E-02,5.0447190E+10
7.111503E-02,4.3749390E+10
9.027458E-02,3.8221160E+10
1.124807E-01,3.3686060E+10
1.375337E-01,2.9962390E+10
1.657185E-01,2.6837020E+10
1.968371E-01,2.4206680E+10
2.302813E-01,2.2004070E+10
2.675015E-01,2.0062590E+10
3.081838E-01,1.8362850E+10
3.525475E-01,1.6861430E+10
4.010248E-01,1.5520120E+10
4.541620E-01,1.4309410E+10
5.125794E-01,1.3207280E+10
5.769560E-01,1.2197350E+10
6.480289E-01,1.1267280E+10
7.263492E-01,1.0410020E+10
8.129234E-01,9.6157280E+09
9.085720E-01,8.8789800E+09
1.014071E+00,8.1957430E+09
1.129672E+00,7.5651150E+09
1.258328E+00,6.9734530E+09
1.399567E+00,6.4256580E+09
1.556046E+00,5.9135050E+09
1.728746E+00,5.4365220E+09
1.919146E+00,4.9926760E+09
2.129073E+00,4.5795980E+09
2.361070E+00,4.1943670E+09
2.617216E+00,3.8356420E+09
2.899599E+00,3.5022670E+09
3.210916E+00,3.1926090E+09
3.554511E+00,2.9048920E+09
3.933012E+00,2.6383070E+09
4.350185E+00,2.3914020E+09
4.810052E+00,2.1629550E+09
5.316827E+00,1.9519300E+09
5.875216E+00,1.7573070E+09
6.490437E+00,1.5781080E+09
7.167928E+00,1.4134790E+09
7.914280E+00,1.2624620E+09
8.736185E+00,1.1242710E+09
9.641356E+00,9.9808930E+08
1.063789E+01,8.8318960E+08
1.173515E+01,7.7881970E+08
1.294341E+01,6.8427360E+08
1.427364E+01,5.9890090E+08
1.573864E+01,5.2203630E+08
1.735183E+01,4.5308320E+08
1.912722E+01,3.9148790E+08
2.108195E+01,3.3665610E+08
2.323460E+01,2.8804100E+08
2.560620E+01,2.4511670E+08
2.821697E+01,2.0742870E+08
3.109330E+01,1.7448140E+08
3.426162E+01,1.4584210E+08
3.775280E+01,1.2108430E+08
4.160081E+01,9.9810610E+07
4.584282E+01,8.1650310E+07
5.051828E+01,6.6260950E+07
5.567888E+01,5.3301570E+07
6.136987E+01,4.2488020E+07
6.765432E+01,3.3532160E+07
7.459531E+01,2.6184440E+07
8.226303E+01,2.0216290E+07
9.074045E+01,1.5418040E+07
1.001212E+02,1.1603130E+07
1.105347E+02,8.6010420E+06
1.220314E+02,6.2840930E+06
1.348146E+02,4.5102650E+06
1.489691E+02,3.1804740E+06
1.648166E+02,2.1917710E+06
1.823669E+02,1.4796840E+06
2.018336E+02,9.7636690E+05
2.239260E+02,6.2226220E+05
2.484365E+02,3.8595560E+05
2.756300E+02,2.3240260E+05
3.060040E+02,1.3500400E+05
3.407294E+02,7.4392840E+04
3.793953E+02,3.9318150E+04
4.231804E+02,1.9621060E+04
4.728099E+02,9.1803680E+03
5.290970E+02,3.9956920E+03
5.930393E+02,1.6016180E+03
6.664974E+02,5.7877550E+02
7.505074E+02,1.8691140E+02
8.471435E+02,5.2754890E+01
9.587661E+02,1.2694030E+01
1.090824E+03,2.4473370E+00
1.243621E+03,3.7939730E-01
1.417821E+03,4.7149190E-02
1.624766E+03,4.1267550E-03
1.869156E+03,2.4259610E-04
2.158058E+03,8.8881100E-06
2.500000E+03,1.8531250E-07
