# OLTARIS Historical SPE, Free Space 1AU, evento Febrero 1956, ajuste LaRC (minimo severidad)
# Especie: proton (unica especie con datos != 1e-20 en el export; SPE solo reporta proton)
# Unidad de energia: MeV. Unidad: particles/(MeV*cm2) (Boundary Fluence, evento puntual, sin factor de tiempo -- 'Save external differential flux' = Si)
# energia_MeV,fluencia_diferencial
1.000000E-02,9.0755060E+07
1.338088E-02,9.0742940E+07
1.790479E-02,9.0726740E+07
2.390681E-02,9.0705240E+07
3.183221E-02,9.0676870E+07
4.210285E-02,9.0640110E+07
5.510735E-02,9.0593580E+07
7.111503E-02,9.0536350E+07
9.027458E-02,9.0467900E+07
1.124807E-01,9.0388620E+07
1.375337E-01,9.0299270E+07
1.657185E-01,9.0198860E+07
1.968371E-01,9.0088120E+07
2.302813E-01,8.9969260E+07
2.675015E-01,8.9837170E+07
3.081838E-01,8.9693020E+07
3.525475E-01,8.9536090E+07
4.010248E-01,8.9364920E+07
4.541620E-01,8.9177680E+07
5.125794E-01,8.8972300E+07
5.769560E-01,8.8746520E+07
6.480289E-01,8.8497920E+07
7.263492E-01,8.8224800E+07
8.129234E-01,8.7923880E+07
9.085720E-01,8.7592630E+07
1.014071E+00,8.7228730E+07
1.129672E+00,8.6831740E+07
1.258328E+00,8.6392080E+07
1.399567E+00,8.5912000E+07
1.556046E+00,8.5383280E+07
1.728746E+00,8.4803580E+07
1.919146E+00,8.4169080E+07
2.129073E+00,8.3475080E+07
2.361070E+00,8.2714860E+07
2.617216E+00,8.1883650E+07
2.899599E+00,8.0977110E+07
3.210916E+00,7.9989460E+07
3.554511E+00,7.8913570E+07
3.933012E+00,7.7745360E+07
4.350185E+00,7.6478090E+07
4.810052E+00,7.5105390E+07
5.316827E+00,7.3621590E+07
5.875216E+00,7.2021070E+07
6.490437E+00,7.0298520E+07
7.167928E+00,6.8449950E+07
7.914280E+00,6.6470580E+07
8.736185E+00,6.4358030E+07
9.641356E+00,6.2110330E+07
1.063789E+01,5.9727940E+07
1.173515E+01,5.7212140E+07
1.294341E+01,5.4566430E+07
1.427364E+01,5.1797550E+07
1.573864E+01,4.8913590E+07
1.735183E+01,4.5927090E+07
1.912722E+01,4.2855160E+07
2.108195E+01,3.9715430E+07
2.323460E+01,3.6529730E+07
2.560620E+01,3.3322710E+07
2.821697E+01,3.0126020E+07
3.109330E+01,2.6968900E+07
3.426162E+01,2.3885720E+07
3.775280E+01,2.0910130E+07
4.160081E+01,1.8075950E+07
4.584282E+01,1.5415700E+07
5.051828E+01,1.2959520E+07
5.567888E+01,1.0729000E+07
6.136987E+01,8.7449360E+06
6.765432E+01,7.0157300E+06
7.459531E+01,5.5441020E+06
8.226303E+01,4.3237660E+06
9.074045E+01,3.3393810E+06
1.001212E+02,2.5686400E+06
1.105347E+02,1.9828230E+06
1.220314E+02,1.5542780E+06
1.348146E+02,1.2481430E+06
1.489691E+02,1.0356860E+06
1.648166E+02,8.8826630E+05
1.823669E+02,7.8553510E+05
2.018336E+02,7.0987430E+05
2.239260E+02,6.4800810E+05
2.484365E+02,5.9387200E+05
2.756300E+02,5.4297400E+05
3.060040E+02,4.9291270E+05
3.407294E+02,4.4194320E+05
3.793953E+02,3.9157030E+05
4.231804E+02,3.4148020E+05
4.728099E+02,2.9241900E+05
5.290970E+02,2.4525260E+05
5.930393E+02,2.0083200E+05
6.664974E+02,1.5963860E+05
7.505074E+02,1.2277840E+05
8.471435E+02,9.0775850E+04
9.587661E+02,6.4044150E+04
1.090824E+03,4.2389120E+04
1.243621E+03,2.6295590E+04
1.417821E+03,1.5256810E+04
1.624766E+03,7.9910570E+03
1.869156E+03,3.7232770E+03
2.158058E+03,1.5095110E+03
2.500000E+03,5.1851660E+02
